Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"Curaleaf Holdings, Inc.",1756770,,CURLF,"OTCQX International","610 - 700 WEST PENDER STREET",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6C 1G8","(604) 218-4766",,,2833,"Medicinal Chemicals and Botanical Products",111419,"Other Food Crops Grown Under Cover",34,,"Antares Professional Corporation (PKF Antares)",32681,,Calgary,A0,ALBERTA,Canada,202510,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-07,,https://www.sec.gov/Archives/edgar/data/1756770/000155837022003137/0001558370-22-003137-index.htm,edgar/data/1756770/0001558370-22-003137.txt,40-F,"2022-03-09 15:53:34","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Acquisition, merger, disposal or reorganization issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Non-routine transaction control issues|",4,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,215,000","354,000","1,569,000",8.21,2021-12-29,"4,678,313,472",2021-12-31,"1,209,661,000","-101,731,000","170,591,000","3,262,478,000",Yes,
"ARC DOCUMENT SOLUTIONS, INC.",1305168,20-1700361,ARC,NYSE,"12657 ALCOSTA BLVD.","SUITE 200","SAN RAMON","Contra Costa",CA,CALIFORNIA,"US West",94583,"(925) 949-5126",,,7330,"Services-Mailing, Reproduction, Commercial Art & Photography",561439,"Other Business Service Centers (including Copy Shops)",34,,"Armanino LLP",20474,,"San Francisco",CA,CALIFORNIA,"US West",199945,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1305168/000130516822000027/0001305168-22-000027-index.htm,edgar/data/1305168/0001305168-22-000027.txt,10-K,"2022-02-24 17:01:40",,,,,0,,USD,"605,000",0,"605,000",3.35,2021-12-29,"144,467,776",2021-12-31,"272,208,000","9,143,000","31,051,000","323,999,000",,
"A10 Networks, Inc.",1580808,20-1446869,ATEN,NYSE,"2300 ORCHARD PKWY",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95131,"(408) 325-8668",,,3576,"Computer Communications Equipment",541512,"Computer Systems Design Services",34,"S&P 600 SmallCap","Armanino LLP",20474,,"San Jose",CA,CALIFORNIA,"US West",202414,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-08,,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/0001580808-22-000053-index.htm,edgar/data/1580808/0001580808-22-000053.txt,10-K,"2022-03-08 17:24:17",,,,,0,,USD,"897,763",0,"897,763",16.77,2021-12-29,"1,300,511,488",2021-12-31,"250,042,000","94,887,000","207,581,000","393,085,000",,
"QUANTUM CORP /DE/",709283,94-2665054,QMCO,"NASDAQ Global Market","224 AIRPORT PARKWAY","SUITE 550","SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95110,"(408) 944-4000",,,3572,"Computer Storage Devices",334112,"Computer Storage Device Manufacturing",34,,"Armanino LLP",20474,,"San Ramon",CA,CALIFORNIA,"US West",195472,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-03-31,2021,2021-05-26,,https://www.sec.gov/Archives/edgar/data/709283/000070928321000024/0000709283-21-000024-index.htm,edgar/data/709283/0000709283-21-000024.txt,10-K,"2021-05-26 16:10:39",,,,,0,,USD,"1,180,000","5,500","1,185,500",7.75,2021-03-29,"322,041,312",2021-03-31,"349,576,000","-35,459,000","-120,748,000","194,924,000",,
"SIFY TECHNOLOGIES LTD",1094324,00-0000000,SIFY,"NASDAQ Capital Market","4 CANAL BAND ROAD TARAMANI","MAANASAROVAR TOWERS","TAMIL NADU",,K7,INDIA,Foreign,"600 113","91 44 2254 0770",,,7370,"Services-Computer Programming, Data Processing, Etc.",541512,"Computer Systems Design Services",34,,"ASA & Associates LLP",13794,,Chennai,K7,INDIA,Foreign,195995,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-03-31,2021,2021-07-28,,https://www.sec.gov/Archives/edgar/data/1094324/000157587221000160/0001575872-21-000160-index.htm,edgar/data/1094324/0001575872-21-000160.txt,20-F,"2021-07-29 17:25:56",,,,,0,,USD,"95,655","13,472","109,127",3.37,2021-03-29,"603,982,336",2021-03-31,"332,626,000","20,952,000","170,568,000","501,473,000",,
"Green Thumb Industries Inc.",1795139,98-1437430,GTBIF,"OTCQX International","325 WEST HURON STREET","SUITE 700",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60654,"(312) 471-6720",,,0100,"Agricultural production- crops",325411,"Medicinal and Botanical Manufacturing",34,,"Baker Tilly US LLP",32612,,Chicago,IL,ILLINOIS,"US Midwest",201391,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1795139/000095017022002469/0000950170-22-002469-index.htm,edgar/data/1795139/0000950170-22-002469.txt,10-K,"2022-03-01 13:17:37","|Acc - Lease, FAS 5, legal, contingency & commit issues|",,,"|IC - Accounting documentation, policy and/or procedures|",1,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,069,240","65,000","1,134,240",21.25,2021-12-29,"4,139,100,928",2021-12-31,"893,560,000","75,436,000","312,776,000","2,385,851,000",Yes,
"NAPCO SECURITY TECHNOLOGIES, INC",69633,11-2277818,NSSC,"NASDAQ Global Select Market","333 BAYVIEW AVE",,AMITYVILLE,Suffolk,NY,"NEW YORK","US Mid Atlantic",11701,"(631) 842-9400",,,3669,"Communications Equipment, NEC",334290,"Other Communications Equipment Manufacturing",34,,"Baker Tilly US LLP",32612,,Melville,NY,"NEW YORK","US Mid Atlantic",196357,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-06-30,2021,2021-09-13,,https://www.sec.gov/Archives/edgar/data/69633/000155837021012426/0001558370-21-012426-index.htm,edgar/data/69633/0001558370-21-012426.txt,10-K,"2021-09-13 16:01:46",,,,,0,,USD,"342,000","19,000","361,000",35.44,2021-07-02,"650,362,432",2021-06-30,"114,035,000","15,413,000","87,697,000","122,551,000",,
"WEYCO GROUP INC",106532,39-0702200,WEYS,"NASDAQ Global Select Market","333 W ESTABROOK BOULEVARD",,GLENDALE,Milwaukee,WI,WISCONSIN,"US Midwest",53212,"(414) 908-1600",,,5130,"Wholesale trade--nondurable goods",316213,"Men's Footwear (except Athletic) Manufacturing",34,,"Baker Tilly US LLP",32612,,Milwaukee,WI,WISCONSIN,"US Midwest",202802,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-11,,https://www.sec.gov/Archives/edgar/data/106532/000141057822000345/0001410578-22-000345-index.htm,edgar/data/106532/0001410578-22-000345.txt,10-K,"2022-03-11 12:43:42",,,,,0,,USD,"292,475","25,900","318,375",23.16,2021-12-29,"225,819,008",2021-12-31,"267,641,000","20,555,000","154,310,000","277,667,000",,
"Performant Financial Corp",1550695,20-0484934,PFMT,"NASDAQ Global Select Market","333 NORTH CANYONS PARKWAY",,Livermore,Alameda,CA,CALIFORNIA,"US West",94551,"(925) 960-4800",,,7380,"Services-Miscellaneous Business Services",561440,"Collection Agencies",34,,"Baker Tilly US LLP",32612,,Milwaukee,WI,WISCONSIN,"US Midwest",203432,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1550695/000155069522000015/0001550695-22-000015-index.htm,edgar/data/1550695/0001550695-22-000015.txt,10-K,"2022-03-16 17:28:32",,,,,0,,USD,"1,169,440","11,500","1,180,940",2.29,2021-12-29,"158,340,528",2021-12-31,"124,393,000","-10,288,000","35,051,000","121,985,000",Yes,
"MESABI TRUST",65172,13-6022277,MSB,NYSE,"P O BOX 318 CHURCH ST STATION","C/O BANKERS TRUST CO CORP TRUST","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10008-0318,"(212) 250-6519",,,6795,"Mineral Royalty Traders",533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",34,,"Baker Tilly US LLP",32612,,Minneapolis,MN,MINNESOTA,"US Midwest",194929,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-01-31,2021,2021-04-27,,https://www.sec.gov/Archives/edgar/data/65172/000155837021004921/0001558370-21-004921-index.htm,edgar/data/65172/0001558370-21-004921.txt,10-K,"2021-04-27 16:16:13",,,,,0,,USD,"64,138",0,"64,138",26.08,2021-02-02,"342,169,856",2021-01-31,"25,915,078","23,407,647",,"22,928,926",,
